  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
 9751°:    558.691650    558.691162    558.691162    558.691162    558.466370
 9752°:    558.748901    558.748413    558.748413    558.748413    558.523621
 9753°:    558.806213    558.805725    558.805725    558.805725    558.580933
 9754°:    558.863525    558.863037    558.863037    558.863037    558.638184
 9755°:    558.920837    558.920349    558.920349    558.920349    558.695435
 9756°:    558.978088    558.977600    558.977600    558.977600    558.752686
 9757°:    559.035400    559.034912    559.034912    559.034912    558.809998
 9758°:    559.092712    559.092224    559.092224    559.092224    558.867310
 9759°:    559.149963    559.149536    559.149536    559.149536    558.924561
 9760°:    559.207275    559.206848    559.206848    559.206848    558.981812
 9761°:    559.264587    559.264099    559.264099    559.264099    559.039063
 9762°:    559.321899    559.321411    559.321411    559.321411    559.096375
 9763°:    559.379150    559.378662    559.378662    559.378662    559.153625
 9764°:    559.436462    559.435974    559.435974    559.435974    559.210938
 9765°:    559.493774    559.493286    559.493286    559.493286    559.268188
 9766°:    559.551086    559.550598    559.550598    559.550598    559.325439
 9767°:    559.608398    559.607910    559.607910    559.607910    559.382751
 9768°:    559.665649    559.665161    559.665161    559.665161    559.440002
 9769°:    559.722961    559.722473    559.722473    559.722473    559.497314
 9770°:    559.780273    559.779785    559.779785    559.779785    559.554565
 9771°:    559.837524    559.837097    559.837097    559.837097    559.611816
 9772°:    559.894836    559.894409    559.894409    559.894409    559.669128
 9773°:    559.952148    559.951660    559.951660    559.951660    559.726379
 9774°:    560.009460    560.008972    560.008972    560.008972    559.783630
 9775°:    560.066650    560.066223    560.066223    560.066223    559.840881
 9776°:    560.124023    560.123535    560.123535    560.123535    559.898193
 9777°:    560.181335    560.180847    560.180847    560.180847    559.955505
 9778°:    560.238647    560.238159    560.238159    560.238159    560.012756
 9779°:    560.295959    560.295471    560.295471    560.295471    560.070007
 9780°:    560.353149    560.352722    560.352722    560.352722    560.127258
 9781°:    560.410522    560.410034    560.410034    560.410034    560.184570
 9782°:    560.467773    560.467285    560.467285    560.467285    560.241760
 9783°:    560.525085    560.524597    560.524597    560.524597    560.299072
 9784°:    560.582397    560.581970    560.581970    560.581970    560.356384
 9785°:    560.639648    560.639160    560.639160    560.639160    560.413635
 9786°:    560.697021    560.696533    560.696533    560.696533    560.470947
 9787°:    560.754211    560.753784    560.753784    560.753784    560.528137
 9788°:    560.811523    560.811096    560.811096    560.811096    560.585449
 9789°:    560.868835    560.868347    560.868347    560.868347    560.642700
 9790°:    560.926147    560.925659    560.925659    560.925659    560.700012
 9791°:    560.983521    560.983032    560.983032    560.983032    560.757324
 9792°:    561.040710    561.040283    561.040283    561.040283    560.814514
 9793°:    561.098022    561.097595    561.097595    561.097595    560.871826
 9794°:    561.155334    561.154846    561.154846    561.154846    560.929077
 9795°:    561.212646    561.212158    561.212158    561.212158    560.986328
 9796°:    561.269897    561.269409    561.269409    561.269409    561.043579
 9797°:    561.327209    561.326721    561.326721    561.326721    561.100891
 9798°:    561.384521    561.384033    561.384033    561.384033    561.158203
 9799°:    561.441772    561.441345    561.441345    561.441345    561.215454
 9800°:    561.499084    561.498657    561.498657    561.498657    561.272705
 9801°:    561.556396    561.555908    561.555908    561.555908    561.329956
 9802°:    561.613708    561.613220    561.613220    561.613220    561.387268
 9803°:    561.671021    561.670532    561.670532    561.670532    561.444580
 9804°:    561.728271    561.727783    561.727783    561.727783    561.501831
 9805°:    561.785583    561.785156    561.785156    561.785156    561.559082
 9806°:    561.842896    561.842407    561.842407    561.842407    561.616333
 9807°:    561.900208    561.899719    561.899719    561.899719    561.673645
 9808°:    561.957458    561.956970    561.956970    561.956970    561.730896
 9809°:    562.014771    562.014282    562.014282    562.014282    561.788208
 9810°:    562.072083    562.071594    562.071594    562.071594    561.845459
 9811°:    562.129333    562.128906    562.128906    562.128906    561.902710
 9812°:    562.186646    562.186218    562.186218    562.186218    561.960022
 9813°:    562.243958    562.243469    562.243469    562.243469    562.017273
 9814°:    562.301270    562.300781    562.300781    562.300781    562.074524
 9815°:    562.358521    562.358032    562.358032    562.358032    562.131775
 9816°:    562.415833    562.415344    562.415344    562.415344    562.189087
 9817°:    562.473145    562.472656    562.472656    562.472656    562.246399
 9818°:    562.530457    562.529968    562.529968    562.529968    562.303650
 9819°:    562.587769    562.587280    562.587280    562.587280    562.360901
 9820°:    562.645020    562.644531    562.644531    562.644531    562.418152
 9821°:    562.702332    562.701843    562.701843    562.701843    562.475464
 9822°:    562.759583    562.759155    562.759155    562.759155    562.532715
 9823°:    562.816895    562.816467    562.816467    562.816467    562.590027
 9824°:    562.874207    562.873779    562.873779    562.873779    562.647278
 9825°:    562.931519    562.931030    562.931030    562.931030    562.704529
 9826°:    562.988831    562.988342    562.988342    562.988342    562.761841
 9827°:    563.046082    563.045593    563.045593    563.045593    562.819092
 9828°:    563.103394    563.102905    563.102905    563.102905    562.876404
 9829°:    563.160706    563.160217    563.160217    563.160217    562.933655
 9830°:    563.218018    563.217529    563.217529    563.217529    562.990906
 9831°:    563.275330    563.274841    563.274841    563.274841    563.048218
 9832°:    563.332581    563.332092    563.332092    563.332092    563.105469
 9833°:    563.389893    563.389404    563.389404    563.389404    563.162720
 9834°:    563.447144    563.446655    563.446655    563.446655    563.219971
 9835°:    563.504456    563.504028    563.504028    563.504028    563.277283
 9836°:    563.561768    563.561340    563.561340    563.561340    563.334595
 9837°:    563.619080    563.618591    563.618591    563.618591    563.391846
 9838°:    563.676392    563.675903    563.675903    563.675903    563.449097
 9839°:    563.733643    563.733154    563.733154    563.733154    563.506348
 9840°:    563.790955    563.790466    563.790466    563.790466    563.563660
 9841°:    563.848206    563.847717    563.847717    563.847717    563.620850
 9842°:    563.905579    563.905090    563.905090    563.905090    563.678223
 9843°:    563.962891    563.962402    563.962402    563.962402    563.735474
 9844°:    564.020081    564.019653    564.019653    564.019653    563.792725
 9845°:    564.077454    564.076965    564.076965    564.076965    563.850037
 9846°:    564.134705    564.134216    564.134216    564.134216    563.907227
 9847°:    564.192017    564.191528    564.191528    564.191528    563.964539
 9848°:    564.249268    564.248779    564.248779    564.248779    564.021790
 9849°:    564.306580    564.306091    564.306091    564.306091    564.079102
 9850°:    564.363953    564.363464    564.363464    564.363464    564.136414
 9851°:    564.421204    564.420715    564.420715    564.420715    564.193604
 9852°:    564.478516    564.478027    564.478027    564.478027    564.250916
 9853°:    564.535767    564.535278    564.535278    564.535278    564.308167
 9854°:    564.593079    564.592590    564.592590    564.592590    564.365417
 9855°:    564.650330    564.649902    564.649902    564.649902    564.422668
 9856°:    564.707642    564.707214    564.707214    564.707214    564.479980
 9857°:    564.764954    564.764526    564.764526    564.764526    564.537292
 9858°:    564.822266    564.821777    564.821777    564.821777    564.594543
 9859°:    564.879578    564.879089    564.879089    564.879089    564.651794
 9860°:    564.936829    564.936340    564.936340    564.936340    564.709045
 9861°:    564.994141    564.993652    564.993652    564.993652    564.766357
 9862°:    565.051453    565.050964    565.050964    565.050964    564.823669
 9863°:    565.108765    565.108276    565.108276    565.108276    564.880920
 9864°:    565.166077    565.165588    565.165588    565.165588    564.938171
 9865°:    565.223328    565.222839    565.222839    565.222839    564.995422
 9866°:    565.280640    565.280151    565.280151    565.280151    565.052734
 9867°:    565.337891    565.337463    565.337463    565.337463    565.109985
 9868°:    565.395203    565.394775    565.394775    565.394775    565.167297
 9869°:    565.452515    565.452087    565.452087    565.452087    565.224548
 9870°:    565.509827    565.509338    565.509338    565.509338    565.281799
 9871°:    565.567139    565.566650    565.566650    565.566650    565.339111
 9872°:    565.624390    565.623901    565.623901    565.623901    565.396362
 9873°:    565.681702    565.681213    565.681213    565.681213    565.453613
 9874°:    565.739014    565.738525    565.738525    565.738525    565.510864
 9875°:    565.796326    565.795837    565.795837    565.795837    565.568176
 9876°:    565.853638    565.853149    565.853149    565.853149    565.625488
 9877°:    565.910889    565.910400    565.910400    565.910400    565.682739
 9878°:    565.968201    565.967712    565.967712    565.967712    565.739990
 9879°:    566.025452    566.025024    566.025024    566.025024    565.797241
 9880°:    566.082764    566.082336    566.082336    566.082336    565.854553
 9881°:    566.140076    566.139587    566.139587    566.139587    565.911804
 9882°:    566.197388    566.196899    566.196899    566.196899    565.969116
 9883°:    566.254700    566.254211    566.254211    566.254211    566.026367
 9884°:    566.311951    566.311462    566.311462    566.311462    566.083618
 9885°:    566.369263    566.368774    566.368774    566.368774    566.140930
 9886°:    566.426575    566.426086    566.426086    566.426086    566.198181
 9887°:    566.483887    566.483398    566.483398    566.483398    566.255493
 9888°:    566.541138    566.540649    566.540649    566.540649    566.312744
 9889°:    566.598450    566.597961    566.597961    566.597961    566.369995
 9890°:    566.655762    566.655273    566.655273    566.655273    566.427307
 9891°:    566.713013    566.712585    566.712585    566.712585    566.484558
 9892°:    566.770325    566.769897    566.769897    566.769897    566.541809
 9893°:    566.827637    566.827148    566.827148    566.827148    566.599060
 9894°:    566.884949    566.884460    566.884460    566.884460    566.656372
 9895°:    566.942261    566.941772    566.941772    566.941772    566.713684
 9896°:    566.999512    566.999023    566.999023    566.999023    566.770935
 9897°:    567.056824    567.056335    567.056335    567.056335    566.828186
 9898°:    567.114136    567.113647    567.113647    567.113647    566.885437
 9899°:    567.171448    567.170959    567.170959    567.170959    566.942749
 9900°:    567.228638    567.228149    567.228149    567.228149    566.999939
 9901°:    567.286011    567.285522    567.285522    567.285522    567.057312
 9902°:    567.343323    567.342834    567.342834    567.342834    567.114563
 9903°:    567.400574    567.400146    567.400146    567.400146    567.171814
 9904°:    567.457886    567.457458    567.457458    567.457458    567.229126
 9905°:    567.515137    567.514648    567.514648    567.514648    567.286316
 9906°:    567.572510    567.572021    567.572021    567.572021    567.343689
 9907°:    567.629761    567.629272    567.629272    567.629272    567.400879
 9908°:    567.687073    567.686584    567.686584    567.686584    567.458191
 9909°:    567.744385    567.743896    567.743896    567.743896    567.515503
 9910°:    567.801636    567.801147    567.801147    567.801147    567.572693
 9911°:    567.859009    567.858521    567.858521    567.858521    567.630005
 9912°:    567.916199    567.915710    567.915710    567.915710    567.687256
 9913°:    567.973511    567.973022    567.973022    567.973022    567.744507
 9914°:    568.030823    568.030334    568.030334    568.030334    567.801758
 9915°:    568.088135    568.087646    568.087646    568.087646    567.859070
 9916°:    568.145447    568.145020    568.145020    568.145020    567.916382
 9917°:    568.202698    568.202209    568.202209    568.202209    567.973633
 9918°:    568.260010    568.259521    568.259521    568.259521    568.030884
 9919°:    568.317322    568.316833    568.316833    568.316833    568.088135
 9920°:    568.374634    568.374146    568.374146    568.374146    568.145447
 9921°:    568.431885    568.431396    568.431396    568.431396    568.202698
 9922°:    568.489197    568.488708    568.488708    568.488708    568.260010
 9923°:    568.546509    568.546021    568.546021    568.546021    568.317261
 9924°:    568.603760    568.603271    568.603271    568.603271    568.374512
 9925°:    568.661072    568.660583    568.660583    568.660583    568.431824
 9926°:    568.718384    568.717896    568.717896    568.717896    568.489075
 9927°:    568.775696    568.775208    568.775208    568.775208    568.546387
 9928°:    568.833008    568.832520    568.832520    568.832520    568.603638
 9929°:    568.890259    568.889771    568.889771    568.889771    568.660889
 9930°:    568.947571    568.947083    568.947083    568.947083    568.718201
 9931°:    569.004883    569.004395    569.004395    569.004395    568.775452
 9932°:    569.062195    569.061707    569.061707    569.061707    568.832703
 9933°:    569.119446    569.118958    569.118958    569.118958    568.889954
 9934°:    569.176758    569.176270    569.176270    569.176270    568.947266
 9935°:    569.234070    569.233582    569.233582    569.233582    569.004578
 9936°:    569.291321    569.290833    569.290833    569.290833    569.061829
 9937°:    569.348633    569.348145    569.348145    569.348145    569.119080
 9938°:    569.405945    569.405457    569.405457    569.405457    569.176331
 9939°:    569.463257    569.462769    569.462769    569.462769    569.233643
 9940°:    569.520508    569.520020    569.520020    569.520020    569.290894
 9941°:    569.577820    569.577332    569.577332    569.577332    569.348206
 9942°:    569.635132    569.634644    569.634644    569.634644    569.405457
 9943°:    569.692444    569.691956    569.691956    569.691956    569.462708
 9944°:    569.749756    569.749268    569.749268    569.749268    569.520020
 9945°:    569.807007    569.806519    569.806519    569.806519    569.577271
 9946°:    569.864319    569.863831    569.863831    569.863831    569.634583
 9947°:    569.921570    569.921082    569.921082    569.921082    569.691833
 9948°:    569.978882    569.978394    569.978394    569.978394    569.749084
 9949°:    570.036194    570.035706    570.035706    570.035706    569.806396
 9950°:    570.093506    570.093018    570.093018    570.093018    569.863647
 9951°:    570.150818    570.150330    570.150330    570.150330    569.920898
 9952°:    570.208069    570.207581    570.207581    570.207581    569.978149
 9953°:    570.265381    570.264893    570.264893    570.264893    570.035461
 9954°:    570.322693    570.322205    570.322205    570.322205    570.092773
 9955°:    570.380005    570.379517    570.379517    570.379517    570.150024
 9956°:    570.437317    570.436829    570.436829    570.436829    570.207275
 9957°:    570.494568    570.494080    570.494080    570.494080    570.264526
 9958°:    570.551880    570.551392    570.551392    570.551392    570.321838
 9959°:    570.609131    570.608643    570.608643    570.608643    570.379028
 9960°:    570.666443    570.665955    570.665955    570.665955    570.436401
 9961°:    570.723755    570.723267    570.723267    570.723267    570.493652
 9962°:    570.781067    570.780579    570.780579    570.780579    570.550903
 9963°:    570.838379    570.837891    570.837891    570.837891    570.608215
 9964°:    570.895569    570.895142    570.895142    570.895142    570.665405
 9965°:    570.952942    570.952454    570.952454    570.952454    570.722778
 9966°:    571.010193    571.009705    571.009705    571.009705    570.779968
 9967°:    571.067566    571.067078    571.067078    571.067078    570.837280
 9968°:    571.124878    571.124390    571.124390    571.124390    570.894592
 9969°:    571.182068    571.181580    571.181580    571.181580    570.951782
 9970°:    571.239441    571.238953    571.238953    571.238953    571.009094
 9971°:    571.296692    571.296204    571.296204    571.296204    571.066345
 9972°:    571.354004    571.353516    571.353516    571.353516    571.123596
 9973°:    571.411255    571.410767    571.410767    571.410767    571.180847
 9974°:    571.468567    571.468079    571.468079    571.468079    571.238159
 9975°:    571.525940    571.525452    571.525452    571.525452    571.295471
 9976°:    571.583130    571.582703    571.582703    571.582703    571.352722
 9977°:    571.640442    571.640015    571.640015    571.640015    571.409973
 9978°:    571.697754    571.697266    571.697266    571.697266    571.467224
 9979°:    571.755066    571.754578    571.754578    571.754578    571.524536
 9980°:    571.812317    571.811829    571.811829    571.811829    571.581787
 9981°:    571.869629    571.869141    571.869141    571.869141    571.639099
 9982°:    571.926941    571.926453    571.926453    571.926453    571.696350
 9983°:    571.984253    571.983765    571.983765    571.983765    571.753601
 9984°:    572.041565    572.041077    572.041077    572.041077    571.810913
 9985°:    572.098816    572.098328    572.098328    572.098328    571.868164
 9986°:    572.156128    572.155640    572.155640    572.155640    571.925476
 9987°:    572.213440    572.212952    572.212952    572.212952    571.982727
 9988°:    572.270691    572.270264    572.270264    572.270264    572.039978
 9989°:    572.328003    572.327576    572.327576    572.327576    572.097290
 9990°:    572.385315    572.384827    572.384827    572.384827    572.154541
 9991°:    572.442627    572.442139    572.442139    572.442139    572.211792
 9992°:    572.499878    572.499390    572.499390    572.499390    572.269043
 9993°:    572.557190    572.556702    572.556702    572.556702    572.326355
 9994°:    572.614502    572.614014    572.614014    572.614014    572.383667
 9995°:    572.671814    572.671326    572.671326    572.671326    572.440918
 9996°:    572.729126    572.728638    572.728638    572.728638    572.498169
 9997°:    572.786377    572.785889    572.785889    572.785889    572.555420
 9998°:    572.843689    572.843201    572.843201    572.843201    572.612732
 9999°:    572.900940    572.900513    572.900513    572.900513    572.669983
10000°:    572.958252    572.957825    572.957825    572.957825    572.727295
10001°:    573.015564    573.015137    573.015137    573.015137    572.784546
10002°:    573.072876    573.072388    573.072388    573.072388    572.841797
10003°:    573.130188    573.129700    573.129700    573.129700    572.899109
10004°:    573.187439    573.186951    573.186951    573.186951    572.956360
10005°:    573.244751    573.244263    573.244263    573.244263    573.013672
10006°:    573.302063    573.301575    573.301575    573.301575    573.070923
10007°:    573.359375    573.358887    573.358887    573.358887    573.128174
10008°:    573.416687    573.416199    573.416199    573.416199    573.185486
10009°:    573.473938    573.473450    573.473450    573.473450    573.242737
10010°:    573.531250    573.530762    573.530762    573.530762    573.299988
10011°:    573.588501    573.588013    573.588013    573.588013    573.357239
10012°:    573.645813    573.645386    573.645386    573.645386    573.414551
10013°:    573.703125    573.702637    573.702637    573.702637    573.471802
10014°:    573.760437    573.759949    573.759949    573.759949    573.529114
10015°:    573.817749    573.817261    573.817261    573.817261    573.586365
10016°:    573.875000    573.874512    573.874512    573.874512    573.643616
10017°:    573.932312    573.931824    573.931824    573.931824    573.700928
10018°:    573.989624    573.989136    573.989136    573.989136    573.758179
10019°:    574.046936    574.046448    574.046448    574.046448    573.815491
10020°:    574.104248    574.103760    574.103760    574.103760    573.872742
10021°:    574.161499    574.161011    574.161011    574.161011    573.929993
10022°:    574.218811    574.218323    574.218323    574.218323    573.987305
10023°:    574.276062    574.275574    574.275574    574.275574    574.044556
10024°:    574.333374    574.332886    574.332886    574.332886    574.101868
10025°:    574.390625    574.390137    574.390137    574.390137    574.159058
10026°:    574.447998    574.447510    574.447510    574.447510    574.216370
10027°:    574.505310    574.504822    574.504822    574.504822    574.273682
10028°:    574.562561    574.562073    574.562073    574.562073    574.330933
10029°:    574.619873    574.619385    574.619385    574.619385    574.388184
10030°:    574.677124    574.676636    574.676636    574.676636    574.445435
10031°:    574.734497    574.734009    574.734009    574.734009    574.502747
10032°:    574.791687    574.791199    574.791199    574.791199    574.559937
10033°:    574.848999    574.848511    574.848511    574.848511    574.617249
10034°:    574.906372    574.905884    574.905884    574.905884    574.674561
10035°:    574.963623    574.963135    574.963135    574.963135    574.731812
10036°:    575.020935    575.020447    575.020447    575.020447    574.789124
10037°:    575.078186    575.077698    575.077698    575.077698    574.846313
10038°:    575.135498    575.135010    575.135010    575.135010    574.903625
10039°:    575.192810    575.192322    575.192322    575.192322    574.960876
10040°:    575.250122    575.249634    575.249634    575.249634    575.018188
10041°:    575.307434    575.306946    575.306946    575.306946    575.075500
10042°:    575.364685    575.364197    575.364197    575.364197    575.132690
10043°:    575.421997    575.421509    575.421509    575.421509    575.190002
10044°:    575.479248    575.478760    575.478760    575.478760    575.247253
10045°:    575.536560    575.536072    575.536072    575.536072    575.304565
10046°:    575.593872    575.593384    575.593384    575.593384    575.361816
10047°:    575.651184    575.650696    575.650696    575.650696    575.419067
10048°:    575.708496    575.708008    575.708008    575.708008    575.476379
10049°:    575.765747    575.765259    575.765259    575.765259    575.533630
10050°:    575.823059    575.822571    575.822571    575.822571    575.590881
10051°:    575.880371    575.879883    575.879883    575.879883    575.648132
10052°:    575.937683    575.937195    575.937195    575.937195    575.705444
10053°:    575.994995    575.994507    575.994507    575.994507    575.762756
10054°:    576.052246    576.051758    576.051758    576.051758    575.820007
10055°:    576.109558    576.109070    576.109070    576.109070    575.877258
10056°:    576.166809    576.166321    576.166321    576.166321    575.934509
10057°:    576.224121    576.223633    576.223633    576.223633    575.991821
10058°:    576.281433    576.280945    576.280945    576.280945    576.049072
10059°:    576.338745    576.338257    576.338257    576.338257    576.106384
10060°:    576.396057    576.395569    576.395569    576.395569    576.163635
10061°:    576.453308    576.452820    576.452820    576.452820    576.220886
10062°:    576.510620    576.510132    576.510132    576.510132    576.278198
10063°:    576.567932    576.567444    576.567444    576.567444    576.335449
10064°:    576.625244    576.624756    576.624756    576.624756    576.392761
10065°:    576.682495    576.682007    576.682007    576.682007    576.450012
10066°:    576.739807    576.739319    576.739319    576.739319    576.507263
10067°:    576.797119    576.796631    576.796631    576.796631    576.564575
10068°:    576.854370    576.853882    576.853882    576.853882    576.621826
10069°:    576.911682    576.911194    576.911194    576.911194    576.679077
10070°:    576.968994    576.968506    576.968506    576.968506    576.736328
10071°:    577.026306    577.025818    577.025818    577.025818    576.793640
10072°:    577.083557    577.083069    577.083069    577.083069    576.850891
10073°:    577.140869    577.140381    577.140381    577.140381    576.908203
10074°:    577.198181    577.197693    577.197693    577.197693    576.965454
10075°:    577.255493    577.255005    577.255005    577.255005    577.022705
10076°:    577.312805    577.312317    577.312317    577.312317    577.080017
10077°:    577.370056    577.369568    577.369568    577.369568    577.137268
10078°:    577.427368    577.426880    577.426880    577.426880    577.194580
10079°:    577.484680    577.484192    577.484192    577.484192    577.251831
10080°:    577.541931    577.541443    577.541443    577.541443    577.309082
10081°:    577.599243    577.598755    577.598755    577.598755    577.366394
10082°:    577.656555    577.656067    577.656067    577.656067    577.423645
10083°:    577.713867    577.713379    577.713379    577.713379    577.480957
10084°:    577.771118    577.770630    577.770630    577.770630    577.538147
10085°:    577.828430    577.827942    577.827942    577.827942    577.595459
10086°:    577.885742    577.885254    577.885254    577.885254    577.652771
10087°:    577.943054    577.942566    577.942566    577.942566    577.710022
10088°:    578.000366    577.999878    577.999878    577.999878    577.767273
10089°:    578.057556    578.057068    578.057068    578.057068    577.824524
10090°:    578.114929    578.114441    578.114441    578.114441    577.881836
10091°:    578.172180    578.171692    578.171692    578.171692    577.939026
10092°:    578.229492    578.229004    578.229004    578.229004    577.996399
10093°:    578.286804    578.286316    578.286316    578.286316    578.053650
10094°:    578.344055    578.343567    578.343567    578.343567    578.110901
10095°:    578.401428    578.400940    578.400940    578.400940    578.168213
10096°:    578.458679    578.458191    578.458191    578.458130    578.225403
10097°:    578.515991    578.515503    578.515503    578.515503    578.282715
10098°:    578.573242    578.572754    578.572754    578.572754    578.339966
10099°:    578.630554    578.630066    578.630066    578.630066    578.397278
10100°:    578.687927    578.687439    578.687439    578.687439    578.454590
10101°:    578.745117    578.744629    578.744629    578.744629    578.511780
10102°:    578.802429    578.801941    578.801941    578.801941    578.569092
10103°:    578.859741    578.859253    578.859253    578.859253    578.626343
10104°:    578.917053    578.916565    578.916565    578.916565    578.683655
10105°:    578.974304    578.973816    578.973816    578.973816    578.740906
10106°:    579.031616    579.031128    579.031128    579.031128    578.798157
10107°:    579.088928    579.088440    579.088440    579.088440    578.855469
10108°:    579.146240    579.145691    579.145691    579.145691    578.912720
10109°:    579.203552    579.203064    579.203064    579.203064    578.969971
10110°:    579.260803    579.260315    579.260315    579.260315    579.027222
10111°:    579.318115    579.317627    579.317627    579.317627    579.084534
10112°:    579.375427    579.374939    579.374939    579.374939    579.141846
10113°:    579.432678    579.432190    579.432190    579.432190    579.199097
10114°:    579.489990    579.489502    579.489502    579.489502    579.256348
10115°:    579.547302    579.546814    579.546814    579.546814    579.313599
10116°:    579.604614    579.604126    579.604126    579.604126    579.370911
10117°:    579.661865    579.661377    579.661377    579.661377    579.428162
10118°:    579.719177    579.718689    579.718689    579.718689    579.485474
10119°:    579.776489    579.776001    579.776001    579.776001    579.542725
10120°:    579.833740    579.833252    579.833252    579.833252    579.599976
10121°:    579.891113    579.890564    579.890564    579.890564    579.657288
10122°:    579.948364    579.947876    579.947876    579.947876    579.714539
10123°:    580.005676    580.005188    580.005188    580.005188    579.771851
10124°:    580.062927    580.062439    580.062439    580.062439    579.829102
10125°:    580.120239    580.119751    580.119751    580.119751    579.886353
10126°:    580.177551    580.177063    580.177063    580.177063    579.943665
10127°:    580.234863    580.234375    580.234375    580.234375    580.000916
10128°:    580.292175    580.291687    580.291687    580.291687    580.058167
10129°:    580.349426    580.348938    580.348938    580.348938    580.115417
10130°:    580.406738    580.406250    580.406250    580.406250    580.172729
10131°:    580.463989    580.463501    580.463501    580.463501    580.229980
10132°:    580.521301    580.520813    580.520813    580.520813    580.287292
10133°:    580.578674    580.578125    580.578125    580.578125    580.344543
10134°:    580.635925    580.635437    580.635437    580.635437    580.401794
10135°:    580.693237    580.692749    580.692749    580.692749    580.459106
10136°:    580.750488    580.750000    580.750000    580.750000    580.516357
10137°:    580.807800    580.807312    580.807312    580.807312    580.573669
10138°:    580.865112    580.864624    580.864624    580.864624    580.630920
10139°:    580.922424    580.921936    580.921936    580.921936    580.688171
10140°:    580.979736    580.979248    580.979248    580.979248    580.745483
10141°:    581.036987    581.036499    581.036499    581.036499    580.802734
10142°:    581.094299    581.093811    581.093811    581.093811    580.860046
10143°:    581.151550    581.151062    581.151062    581.151062    580.917297
10144°:    581.208862    581.208374    581.208374    581.208374    580.974548
10145°:    581.266235    581.265686    581.265686    581.265686    581.031860
10146°:    581.323486    581.322998    581.322998    581.322998    581.089111
10147°:    581.380798    581.380310    581.380310    581.380310    581.146362
10148°:    581.438049    581.437561    581.437561    581.437561    581.203613
10149°:    581.495361    581.494873    581.494873    581.494873    581.260925
10150°:    581.552612    581.552124    581.552124    581.552124    581.318115
10151°:    581.609985    581.609497    581.609497    581.609497    581.375488
10152°:    581.667297    581.666809    581.666809    581.666809    581.432739
10153°:    581.724548    581.724060    581.724060    581.724060    581.489990
10154°:    581.781860    581.781372    581.781372    581.781372    581.547302
10155°:    581.839111    581.838623    581.838623    581.838623    581.604492
10156°:    581.896423    581.895935    581.895935    581.895935    581.661865
10157°:    581.953674    581.953186    581.953186    581.953186    581.719055
10158°:    582.010986    582.010498    582.010498    582.010498    581.776367
10159°:    582.068359    582.067871    582.067871    582.067871    581.833679
10160°:    582.125610    582.125122    582.125122    582.125122    581.890869
10161°:    582.182922    582.182434    582.182434    582.182434    581.948242
10162°:    582.240173    582.239685    582.239685    582.239685    582.005432
10163°:    582.297485    582.296997    582.296997    582.296997    582.062744
10164°:    582.354736    582.354248    582.354248    582.354248    582.119995
10165°:    582.412048    582.411560    582.411560    582.411560    582.177246
10166°:    582.469421    582.468933    582.468933    582.468933    582.234558
10167°:    582.526672    582.526184    582.526184    582.526184    582.291809
10168°:    582.583984    582.583496    582.583496    582.583496    582.349060
10169°:    582.641235    582.640747    582.640747    582.640747    582.406311
10170°:    582.698547    582.698059    582.698059    582.698059    582.463623
10171°:    582.755859    582.755371    582.755371    582.755371    582.520874
10172°:    582.813171    582.812683    582.812683    582.812683    582.578186
10173°:    582.870483    582.869995    582.869995    582.869995    582.635437
10174°:    582.927734    582.927246    582.927246    582.927246    582.692688
10175°:    582.985046    582.984558    582.984558    582.984558    582.750000
10176°:    583.042297    583.041809    583.041809    583.041809    582.807251
10177°:    583.099609    583.099121    583.099121    583.099121    582.864563
10178°:    583.156921    583.156433    583.156433    583.156433    582.921814
10179°:    583.214233    583.213745    583.213745    583.213745    582.979065
10180°:    583.271545    583.271057    583.271057    583.271057    583.036377
10181°:    583.328796    583.328308    583.328308    583.328308    583.093628
10182°:    583.386108    583.385620    583.385620    583.385620    583.150940
10183°:    583.443420    583.442932    583.442932    583.442932    583.208191
10184°:    583.500732    583.500244    583.500244    583.500244    583.265442
10185°:    583.558044    583.557556    583.557556    583.557556    583.322754
10186°:    583.615295    583.614807    583.614807    583.614807    583.380005
10187°:    583.672607    583.672119    583.672119    583.672119    583.437256
10188°:    583.729858    583.729370    583.729370    583.729370    583.494507
10189°:    583.787170    583.786682    583.786682    583.786682    583.551819
10190°:    583.844482    583.843994    583.843994    583.843994    583.609070
10191°:    583.901794    583.901306    583.901306    583.901306    583.666382
10192°:    583.959106    583.958618    583.958618    583.958618    583.723633
10193°:    584.016357    584.015869    584.015869    584.015869    583.780884
10194°:    584.073669    584.073181    584.073181    584.073181    583.838196
10195°:    584.130981    584.130493    584.130493    584.130493    583.895447
10196°:    584.188293    584.187805    584.187805    584.187805    583.952759
10197°:    584.245544    584.245056    584.245056    584.245056    584.010010
10198°:    584.302856    584.302368    584.302368    584.302368    584.067261
10199°:    584.360168    584.359680    584.359680    584.359680    584.124573
10200°:    584.417419    584.416931    584.416931    584.416931    584.181824
10201°:    584.474731    584.474243    584.474243    584.474243    584.239136
10202°:    584.532043    584.531555    584.531555    584.531555    584.296387
10203°:    584.589355    584.588867    584.588867    584.588867    584.353638
10204°:    584.646667    584.646179    584.646179    584.646179    584.410950
