  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
  395°:    22.631851    22.631832    22.631832    22.631832    22.622726
  396°:    22.689148    22.689129    22.689129    22.689129    22.680000
  397°:    22.746443    22.746424    22.746424    22.746424    22.737272
  398°:    22.803740    22.803720    22.803720    22.803720    22.794546
  399°:    22.861034    22.861015    22.861015    22.861015    22.851818
  400°:    22.918331    22.918312    22.918312    22.918312    22.909090
  401°:    22.975628    22.975607    22.975607    22.975607    22.966364
  402°:    23.032923    23.032904    23.032904    23.032904    23.023636
  403°:    23.090219    23.090199    23.090199    23.090199    23.080910
  404°:    23.147514    23.147495    23.147495    23.147495    23.138182
  405°:    23.204811    23.204792    23.204792    23.204792    23.195456
  406°:    23.262104    23.262085    23.262085    23.262085    23.252726
  407°:    23.319403    23.319384    23.319384    23.319384    23.310001
  408°:    23.376699    23.376678    23.376678    23.376678    23.367273
  409°:    23.433994    23.433975    23.433975    23.433975    23.424547
  410°:    23.491291    23.491270    23.491270    23.491270    23.481819
  411°:    23.548586    23.548567    23.548567    23.548567    23.539091
  412°:    23.605883    23.605862    23.605862    23.605862    23.596365
  413°:    23.663176    23.663157    23.663157    23.663157    23.653635
  414°:    23.720474    23.720453    23.720453    23.720453    23.710911
  415°:    23.777767    23.777748    23.777748    23.777748    23.768181
  416°:    23.835066    23.835047    23.835047    23.835047    23.825457
  417°:    23.892359    23.892340    23.892340    23.892340    23.882727
  418°:    23.949657    23.949638    23.949638    23.949638    23.940002
  419°:    24.006950    24.006931    24.006931    24.006931    23.997272
  420°:    24.064247    24.064226    24.064226    24.064226    24.054544
  421°:    24.121544    24.121523    24.121523    24.121523    24.111818
  422°:    24.178839    24.178818    24.178818    24.178818    24.169090
  423°:    24.236135    24.236115    24.236115    24.236115    24.226364
  424°:    24.293430    24.293411    24.293411    24.293411    24.283636
  425°:    24.350727    24.350706    24.350706    24.350706    24.340910
  426°:    24.408022    24.408003    24.408003    24.408003    24.398182
  427°:    24.465319    24.465298    24.465298    24.465298    24.455454
  428°:    24.522615    24.522594    24.522594    24.522594    24.512728
  429°:    24.579910    24.579889    24.579889    24.579889    24.570000
  430°:    24.637207    24.637186    24.637186    24.637186    24.627274
  431°:    24.694502    24.694481    24.694481    24.694481    24.684546
  432°:    24.751799    24.751778    24.751778    24.751778    24.741819
  433°:    24.809093    24.809072    24.809072    24.809072    24.799091
  434°:    24.866388    24.866367    24.866367    24.866367    24.856361
  435°:    24.923687    24.923666    24.923666    24.923666    24.913637
  436°:    24.980980    24.980959    24.980959    24.980959    24.970907
  437°:    25.038279    25.038258    25.038258    25.038258    25.028183
  438°:    25.095572    25.095551    25.095551    25.095551    25.085453
  439°:    25.152870    25.152849    25.152849    25.152849    25.142729
  440°:    25.210163    25.210142    25.210142    25.210142    25.199999
  441°:    25.267462    25.267441    25.267441    25.267441    25.257275
  442°:    25.324755    25.324734    25.324734    25.324734    25.314545
  443°:    25.382051    25.382030    25.382030    25.382030    25.371817
  444°:    25.439346    25.439325    25.439325    25.439325    25.429090
  445°:    25.496643    25.496622    25.496622    25.496622    25.486362
  446°:    25.553938    25.553917    25.553917    25.553917    25.543636
  447°:    25.611235    25.611214    25.611214    25.611214    25.600908
  448°:    25.668531    25.668509    25.668509    25.668509    25.658182
  449°:    25.725826    25.725805    25.725805    25.725805    25.715454
  450°:    25.783123    25.783100    25.783100    25.783100    25.772728
